,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,Ticker,2024-06-30 00:00:00,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00,2020-06-30 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2024-05-31 00:00:00,2023-05-31 00:00:00,2022-05-31 00:00:00,2021-05-31 00:00:00,2020-05-31 00:00:00
Otherunder Preferred Stock Dividend,699000000.0,708000000.0,,,700000000.0,0011.HK,,,,,,,,,,,,,,
Net Income,18379000000.0,17848000000.0,11286000000.0,13960000000.0,,0011.HK,,,,,,,,,,,,,,
Minority Interests,10000000.0,10000000.0,14000000.0,14000000.0,,0011.HK,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,18369000000.0,17838000000.0,11272000000.0,13946000000.0,,0011.HK,,,,,,,,,,,,,,
Net Income Continuous Operations,18369000000.0,17838000000.0,11272000000.0,13946000000.0,,0011.HK,,,,,,,,,,,,,,
Tax Provision,2645000000.0,2267000000.0,1509000000.0,2439000000.0,,0011.HK,,,,,,,,,,,,,,
Pretax Income,21014000000.0,20105000000.0,12781000000.0,16385000000.0,,0011.HK,,,,,,,,,,,,,,
Other Non Operating Income Expenses,-583000000.0,-34000000.0,-108000000.0,82000000.0,,0011.HK,,,,,,,,,,,,,,
Special Income Charges,-22000000.0,-11000000.0,-26000000.0,-58000000.0,,0011.HK,,,,,,,,,,,,,,
Other Special Charges,9000000.0,7000000.0,15000000.0,48000000.0,,0011.HK,,,,,,,,,,,,,,
Impairment Of Capital Assets,13000000.0,4000000.0,11000000.0,10000000.0,,0011.HK,,,,,,,,,,,,,,
Gain On Sale Of Security,4756000000.0,9695000000.0,-23344000000.0,2995000000.0,,0011.HK,,,,,,,,,,,,,,
Operating Expense,15193000000.0,14624000000.0,13795000000.0,30484000000.0,,0011.HK,,,,,,,,,,,,,,
Other Operating Expenses,3928000000.0,3813000000.0,3324000000.0,3090000000.0,,0011.HK,,,,,,,,,,,,,,
Depreciation And Amortization In Income Statement,3133000000.0,2849000000.0,2676000000.0,2538000000.0,,0011.HK,,,,,,,,,,,,,,
Amortization,1170000000.0,934000000.0,702000000.0,472000000.0,,0011.HK,,,,,,,,,,,,,,
Depreciation Income Statement,1963000000.0,1915000000.0,1974000000.0,2066000000.0,,0011.HK,,,,,,,,,,,,,,
Selling General And Administration,452000000.0,461000000.0,440000000.0,378000000.0,,0011.HK,,,,,,,,,,,,,,
Selling And Marketing Expense,452000000.0,461000000.0,440000000.0,378000000.0,,0011.HK,,,,,,,,,,,,,,
Insurance And Claims,-393000000.0,-315000000.0,-447000000.0,16350000000.0,,0011.HK,,,,,,,,,,,,,,
Rent And Landing Fees,2155000000.0,2021000000.0,1893000000.0,1817000000.0,,0011.HK,,,,,,,,,,,,,,
Total Revenue,41572000000.0,40820000000.0,34381000000.0,49574000000.0,,0011.HK,,,,,,,,,,,,,,
Operating Revenue,41572000000.0,40820000000.0,34381000000.0,49574000000.0,,0011.HK,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,22406786.507776,10741524.152415,-68816536.581182,74832019.4057,,0388.HK,,,,,,,,,,,,,,
Tax Rate For Calcs,0.11432,0.101335,0.134145,0.157873,,0388.HK,,,,,,,,,,,,,,
Normalized EBITDA,21950000000.0,20764000000.0,15989000000.0,15868000000.0,,0388.HK,,,,,,,,,,,,,,
Total Unusual Items,196000000.0,106000000.0,-513000000.0,474000000.0,,0388.HK,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,196000000.0,106000000.0,-513000000.0,474000000.0,,0388.HK,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,13050000000.0,11862000000.0,10078000000.0,12535000000.0,,0388.HK,,,,,,,,,,,,,,
Reconciled Depreciation,1402000000.0,1443000000.0,1459000000.0,1354000000.0,,0388.HK,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,4405000000.0,3984000000.0,3636000000.0,3292000000.0,,0388.HK,,,,,,,,,,,,,,
EBITDA,22146000000.0,20870000000.0,15476000000.0,16342000000.0,,0388.HK,,,,,,,,,,,,,,
EBIT,20744000000.0,19427000000.0,14017000000.0,14988000000.0,,0388.HK,,,,,,,,,,,,,,
Net Interest Income,4605000000.0,4676000000.0,1726000000.0,597000000.0,,0388.HK,,,,,,,,,,,,,,
Interest Expense,5891000000.0,6095000000.0,2358000000.0,147000000.0,,0388.HK,,,,,,,,,,,,,,
Interest Income,10565000000.0,10841000000.0,4151000000.0,813000000.0,,0388.HK,,,,,,,,,,,,,,
Normalized Income,12876406786.507776,11766741524.152414,10522183463.418818,12135832019.4057,,0388.HK,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,13050000000.0,11862000000.0,10078000000.0,12535000000.0,,0388.HK,,,,,,,,,,,,,,
Total Expenses,7362000000.0,6988000000.0,6542000000.0,5834000000.0,,0388.HK,,,,,,,,,,,,,,
Rent Expense Supplemental,,,120000000.0,117000000.0,119000000.0,0388.HK,,,,,,,,,,,,,,
Total Operating Income As Reported,14879000000.0,13385000000.0,11726000000.0,14915000000.0,,0388.HK,,,,,,,,,,,,,,
Diluted Average Shares,1267700000.0,1267809000.0,1267724000.0,1267571000.0,,0388.HK,,,,,,,,,,,,,,
Basic Average Shares,1264482000.0,1265463000.0,1265489000.0,1265431000.0,,0388.HK,,,,,,,,,,,,,,
Diluted EPS,10.29,9.36,7.95,9.89,,0388.HK,,,,,,,,,,,,,,
Basic EPS,10.32,9.37,7.96,9.91,,0388.HK,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,13050000000.0,11862000000.0,10078000000.0,12535000000.0,,0388.HK,,,,,,,,,,,,,,
Net Income Common Stockholders,13050000000.0,11862000000.0,10078000000.0,12535000000.0,,0388.HK,,,,,,,,,,,,,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,,0388.HK,,,,,,,,,,,,,,
Net Income,13050000000.0,11862000000.0,10078000000.0,12535000000.0,,0388.HK,,,,,,,,,,,,,,
Minority Interests,-105000000.0,-119000000.0,-17000000.0,37000000.0,,0388.HK,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,13155000000.0,11981000000.0,10095000000.0,12498000000.0,,0388.HK,,,,,,,,,,,,,,
Net Income Continuous Operations,13155000000.0,11981000000.0,10095000000.0,12498000000.0,,0388.HK,,,,,,,,,,,,,,
Tax Provision,1698000000.0,1351000000.0,1564000000.0,2343000000.0,,0388.HK,,,,,,,,,,,,,,
Pretax Income,14853000000.0,13332000000.0,11659000000.0,14841000000.0,,0388.HK,,,,,,,,,,,,,,
Special Income Charges,-14000000.0,-14000000.0,-6000000.0,-11000000.0,,0388.HK,,,,,,,,,,,,,,
Other Special Charges,14000000.0,14000000.0,6000000.0,11000000.0,,0388.HK,,,,,,,,,,,,,,
Write Off,,,-2000000.0,7000000.0,12000000.0,0388.HK,,,,,,,,,,,,,,
Restructuring And Mergern Acquisition,,21000000.0,16000000.0,20000000.0,0.0,0388.HK,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,4605000000.0,4676000000.0,1726000000.0,597000000.0,,0388.HK,,,,,,,,,,,,,,
Total Other Finance Cost,69000000.0,70000000.0,67000000.0,69000000.0,,0388.HK,,,,,,,,,,,,,,
Interest Expense Non Operating,5891000000.0,6095000000.0,2358000000.0,147000000.0,,0388.HK,,,,,,,,,,,,,,
Interest Income Non Operating,10565000000.0,10841000000.0,4151000000.0,813000000.0,,0388.HK,,,,,,,,,,,,,,
Operating Income,9984000000.0,8457000000.0,10392000000.0,13637000000.0,,0388.HK,,,,,,,,,,,,,,
Operating Expense,2957000000.0,3004000000.0,2906000000.0,2542000000.0,,0388.HK,,,,,,,,,,,,,,
Other Operating Expenses,586000000.0,560000000.0,562000000.0,522000000.0,,0388.HK,,,,,,,,,,,,,,
Depreciation And Amortization In Income Statement,1402000000.0,1443000000.0,1459000000.0,1354000000.0,,0388.HK,,,,,,,,,,,,,,
Depreciation Income Statement,1402000000.0,1443000000.0,1459000000.0,1354000000.0,,0388.HK,,,,,,,,,,,,,,
Selling General And Administration,351000000.0,448000000.0,431000000.0,296000000.0,,0388.HK,,,,,,,,,,,,,,
Selling And Marketing Expense,126000000.0,135000000.0,129000000.0,116000000.0,,0388.HK,,,,,,,,,,,,,,
General And Administrative Expense,225000000.0,313000000.0,302000000.0,180000000.0,,0388.HK,,,,,,,,,,,,,,
Rent And Landing Fees,,,120000000.0,117000000.0,119000000.0,0388.HK,,,,,,,,,,,,,,
Gross Profit,12941000000.0,11461000000.0,13298000000.0,16179000000.0,,0388.HK,,,,,,,,,,,,,,
Cost Of Revenue,4405000000.0,3984000000.0,3636000000.0,3292000000.0,,0388.HK,,,,,,,,,,,,,,
Total Revenue,17346000000.0,15445000000.0,16934000000.0,19471000000.0,,0388.HK,,,,,,,,,,,,,,
Operating Revenue,17346000000.0,15445000000.0,16934000000.0,19471000000.0,,0388.HK,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,-37279800.0,-67678807.428276,-73449354.832825,-150774140.354957,,0939.HK,,,,,,,,,,,,,,
Tax Rate For Calcs,0.1251,0.146175,0.153339,0.196833,,0939.HK,,,,,,,,,,,,,,
Total Unusual Items,-298000000.0,-463000000.0,-479000000.0,-766000000.0,,0939.HK,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-298000000.0,-463000000.0,-479000000.0,-766000000.0,,0939.HK,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,335577000000.0,332653000000.0,324727000000.0,302513000000.0,,0939.HK,,,,,,,,,,,,,,
Reconciled Depreciation,30230000000.0,29081000000.0,28482000000.0,27295000000.0,,0939.HK,,,,,,,,,,,,,,
Net Interest Income,589882000000.0,617233000000.0,643669000000.0,605420000000.0,,0939.HK,,,,,,,,,,,,,,
Interest Expense,651675000000.0,630133000000.0,526904000000.0,451914000000.0,,0939.HK,,,,,,,,,,,,,,
Interest Income,1241557000000.0,1247366000000.0,1170573000000.0,1057334000000.0,,0939.HK,,,,,,,,,,,,,,
Normalized Income,335837720200.0,333048321192.5717,325132550645.1672,303128225859.645,,0939.HK,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,335577000000.0,332653000000.0,324727000000.0,302513000000.0,,0939.HK,,,,,,,,,,,,,,
Diluted Average Shares,,253933587786.0,253692968750.0,254212605042.0,255707547170.0,0939.HK,,,,,,,,,,,,,,
Basic Average Shares,,253933587786.0,253692968750.0,254212605042.0,255707547170.0,0939.HK,,,,,,,,,,,,,,
Diluted EPS,,1.31,1.28,1.19,1.06,0939.HK,,,,,,,,,,,,,,
Basic EPS,,1.31,1.28,1.19,1.06,0939.HK,,,,,,,,,,,,,,
Net Income Common Stockholders,335577000000.0,332653000000.0,324727000000.0,302513000000.0,,0939.HK,,,,,,,,,,,,,,
Net Income,335577000000.0,332653000000.0,324727000000.0,302513000000.0,,0939.HK,,,,,,,,,,,,,,
Minority Interests,-705000000.0,193000000.0,-136000000.0,-1415000000.0,,0939.HK,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,336282000000.0,332460000000.0,324863000000.0,303928000000.0,,0939.HK,,,,,,,,,,,,,,
Net Income Continuous Operations,336282000000.0,332460000000.0,324863000000.0,303928000000.0,,0939.HK,,,,,,,,,,,,,,
Tax Provision,48095000000.0,56917000000.0,58836000000.0,74484000000.0,,0939.HK,,,,,,,,,,,,,,
Pretax Income,384377000000.0,389377000000.0,383699000000.0,378412000000.0,,0939.HK,,,,,,,,,,,,,,
Other Non Operating Income Expenses,105000000.0,150000000.0,74000000.0,-364000000.0,,0939.HK,,,,,,,,,,,,,,
Special Income Charges,-298000000.0,-463000000.0,-479000000.0,-766000000.0,,0939.HK,,,,,,,,,,,,,,
Write Off,298000000.0,463000000.0,479000000.0,766000000.0,,0939.HK,,,,,,,,,,,,,,
Gain On Sale Of Security,26184000000.0,12121000000.0,1027000000.0,28869000000.0,,0939.HK,,,,,,,,,,,,,,
Operating Expense,244881000000.0,243272000000.0,245121000000.0,276755000000.0,,0939.HK,,,,,,,,,,,,,,
Other Operating Expenses,30569000000.0,33184000000.0,31902000000.0,66891000000.0,,0939.HK,,,,,,,,,,,,,,
Depreciation And Amortization In Income Statement,,,,24055000000.0,,0939.HK,,,,,,,,,,,,,,
Depreciation Income Statement,,,,24055000000.0,,0939.HK,,,,,,,,,,,,,,
Selling General And Administration,214312000000.0,93680000000.0,102452000000.0,91236000000.0,,0939.HK,,,,,,,,,,,,,,
General And Administrative Expense,214312000000.0,93680000000.0,102452000000.0,91236000000.0,,0939.HK,,,,,,,,,,,,,,
Rent And Landing Fees,,4167000000.0,,4164000000.0,,0939.HK,,,,,,,,,,,,,,
Total Revenue,749567000000.0,768585000000.0,782566000000.0,822643000000.0,,0939.HK,,,,,,,,,,,,,,
Operating Revenue,749567000000.0,768585000000.0,782566000000.0,822643000000.0,,0939.HK,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,,-28478965.819457,-61184015.786877,-39555739.253661,-58450481.430536,1299.HK,,,,,,,,,,,,,,
Tax Rate For Calcs,,0.17156,0.169956,0.117029,0.205089,1299.HK,,,,,,,,,,,,,,
Total Unusual Items,,-166000000.0,-360000000.0,-338000000.0,-285000000.0,1299.HK,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,,-166000000.0,-360000000.0,-338000000.0,-285000000.0,1299.HK,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,,3764000000.0,3331000000.0,7427000000.0,5779000000.0,1299.HK,,,,,,,,,,,,,,
Reconciled Depreciation,,416000000.0,391000000.0,394000000.0,389000000.0,1299.HK,,,,,,,,,,,,,,
EBIT,,5049000000.0,4448000000.0,8825000000.0,7562000000.0,1299.HK,,,,,,,,,,,,,,
Net Interest Income,,-485000000.0,-394000000.0,-357000000.0,-292000000.0,1299.HK,,,,,,,,,,,,,,
Interest Expense,,485000000.0,394000000.0,357000000.0,292000000.0,1299.HK,,,,,,,,,,,,,,
Interest Income,,9308000000.0,8590000000.0,8494000000.0,7987000000.0,1299.HK,,,,,,,,,,,,,,
Normalized Income,,3901521034.180543,3629815984.213123,7725444260.746339,6005549518.569464,1299.HK,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,,3764000000.0,3331000000.0,7427000000.0,5779000000.0,1299.HK,,,,,,,,,,,,,,
Total Expenses,,16021000000.0,-28455000000.0,39057000000.0,43089000000.0,1299.HK,,,,,,,,,,,,,,
Diluted Average Shares,,11528000000.0,11938000000.0,12087000000.0,12080000000.0,1299.HK,,,,,,,,,,,,,,
Basic Average Shares,,11518000000.0,11929000000.0,12066000000.0,12060000000.0,1299.HK,,,,,,,,,,,,,,
Diluted EPS,,0.0033,0.28,0.6145,0.4784,1299.HK,,,,,,,,,,,,,,
Basic EPS,,0.0033,0.28,0.6155,0.4792,1299.HK,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,,3764000000.0,3331000000.0,7427000000.0,5779000000.0,1299.HK,,,,,,,,,,,,,,
Net Income Common Stockholders,,3764000000.0,3331000000.0,7427000000.0,5779000000.0,1299.HK,,,,,,,,,,,,,,
Net Income,,3764000000.0,3331000000.0,7427000000.0,5779000000.0,1299.HK,,,,,,,,,,,,,,
Minority Interests,,-17000000.0,-34000000.0,-50000000.0,0.0,1299.HK,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,,3781000000.0,3365000000.0,7477000000.0,5779000000.0,1299.HK,,,,,,,,,,,,,,
Net Income Continuous Operations,,3781000000.0,3365000000.0,7477000000.0,5779000000.0,1299.HK,,,,,,,,,,,,,,
Tax Provision,,783000000.0,689000000.0,991000000.0,1491000000.0,1299.HK,,,,,,,,,,,,,,
Pretax Income,,4564000000.0,4054000000.0,8468000000.0,7270000000.0,1299.HK,,,,,,,,,,,,,,
Other Income Expense,,307000000.0,-57000000.0,1078000000.0,364000000.0,1299.HK,,,,,,,,,,,,,,
Special Income Charges,,-166000000.0,-360000000.0,-338000000.0,-285000000.0,1299.HK,,,,,,,,,,,,,,
Other Special Charges,,0.0,0.0,0.0,0.0,1299.HK,,,,,,,,,,,,,,
Restructuring And Mergern Acquisition,,166000000.0,360000000.0,338000000.0,285000000.0,1299.HK,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,,-485000000.0,-394000000.0,-357000000.0,-292000000.0,1299.HK,,,,,,,,,,,,,,
Interest Expense Non Operating,,485000000.0,394000000.0,357000000.0,292000000.0,1299.HK,,,,,,,,,,,,,,
Other Operating Expenses,,965000000.0,894000000.0,785000000.0,658000000.0,1299.HK,,,,,,,,,,,,,,
Depreciation And Amortization In Income Statement,,416000000.0,391000000.0,394000000.0,389000000.0,1299.HK,,,,,,,,,,,,,,
Amortization,,152000000.0,121000000.0,93000000.0,92000000.0,1299.HK,,,,,,,,,,,,,,
Depreciation Income Statement,,264000000.0,270000000.0,301000000.0,297000000.0,1299.HK,,,,,,,,,,,,,,
Selling General And Administration,,,,771000000.0,611000000.0,1299.HK,,,,,,,,,,,,,,
General And Administrative Expense,,,,771000000.0,611000000.0,1299.HK,,,,,,,,,,,,,,
Total Revenue,,20585000000.0,-24401000000.0,47525000000.0,50359000000.0,1299.HK,,,,,,,,,,,,,,
Operating Revenue,,20585000000.0,-24401000000.0,47525000000.0,50359000000.0,1299.HK,,,,,,,,,,,,,,
Net Policyholder Benefits And Claims,,9351000000.0,8236000000.0,13868000000.0,12682000000.0,1299.HK,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,-120212400.0,-270530801.059801,-26929287459.97363,-35614330720.9478,,1398.HK,,,,,,,,,,,,,,
Tax Rate For Calcs,0.1301,0.134726,0.147415,0.175766,,1398.HK,,,,,,,,,,,,,,
Total Unusual Items,-924000000.0,-2008000000.0,-182677000000.0,-202623000000.0,,1398.HK,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-924000000.0,-2008000000.0,-182677000000.0,-202623000000.0,,1398.HK,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,365863000000.0,363993000000.0,361132000000.0,348338000000.0,,1398.HK,,,,,,,,,,,,,,
Reconciled Depreciation,34538000000.0,34774000000.0,34013000000.0,31319000000.0,,1398.HK,,,,,,,,,,,,,,
Net Interest Income,637405000000.0,655013000000.0,691985000000.0,690680000000.0,,1398.HK,,,,,,,,,,,,,,
Interest Expense,790543000000.0,750026000000.0,586689000000.0,471538000000.0,,1398.HK,,,,,,,,,,,,,,
Interest Income,1427948000000.0,1405039000000.0,1278674000000.0,1162218000000.0,,1398.HK,,,,,,,,,,,,,,
Normalized Income,366666787600.0,365730469198.9402,516879712540.02637,515346669279.0522,,1398.HK,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,365863000000.0,363993000000.0,361132000000.0,348338000000.0,,1398.HK,,,,,,,,,,,,,,
Diluted Average Shares,373329591837.0,371421428571.0,372301030928.0,366671578947.0,,1398.HK,,,,,,,,,,,,,,
Basic Average Shares,373329591837.0,371421428571.0,372301030928.0,366671578947.0,,1398.HK,,,,,,,,,,,,,,
Diluted EPS,0.98,0.98,0.97,0.95,,1398.HK,,,,,,,,,,,,,,
Basic EPS,0.98,0.98,0.97,0.95,,1398.HK,,,,,,,,,,,,,,
Net Income Common Stockholders,365863000000.0,363993000000.0,361132000000.0,348338000000.0,,1398.HK,,,,,,,,,,,,,,
Net Income,365863000000.0,363993000000.0,361132000000.0,348338000000.0,,1398.HK,,,,,,,,,,,,,,
Minority Interests,-1083000000.0,-1123000000.0,-978000000.0,-1878000000.0,,1398.HK,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,366946000000.0,365116000000.0,362110000000.0,350216000000.0,,1398.HK,,,,,,,,,,,,,,
Net Income Continuous Operations,366946000000.0,365116000000.0,362110000000.0,350216000000.0,,1398.HK,,,,,,,,,,,,,,
Tax Provision,54881000000.0,56850000000.0,62610000000.0,74683000000.0,,1398.HK,,,,,,,,,,,,,,
