Factor_ID,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Num Trading Days
ATR_14d,-0.3177393348441714,-0.07362778667475345,0.2563845147489314,-0.28717719846245243,-0.6375488412513791,1305
Daily_High_Low_Range,-0.08167134647603069,-0.01689792248027755,0.252389133648984,-0.06695186213436084,-0.5295069632085674,1305
EMA_20d,-0.36624991350361213,-0.08719463833176078,0.20783939112078884,-0.4195289346334082,-0.6112929082961396,1305
MA_Crossover_10_50,0.06042423308109157,0.011804546234268853,0.24754346511099845,0.047686761712637804,-0.5553252283777813,1305
Mean_Reversion_20d,0.2903114217622651,0.052305740117376764,0.24534993757729345,0.21318831638544314,-0.3110487086647925,1305
Moving_Average_Reversion,0.2903114217622651,0.052305740117376764,0.24534993757729345,0.21318831638544314,-0.3110487086647925,1305
Normalized_BBW_20d_2std,1.086420334133006,0.15848151180098768,0.3086608946520456,0.5134486245160547,-0.33272668568891817,1305
Price_Momentum_10d,-0.09868692302055204,-0.020568880319239535,0.2687242209256531,-0.07654271077012535,-0.47967950107546486,1305
ROC_50d,-0.2477526271585908,-0.055354738512222945,0.27158752984788137,-0.20381914642114693,-0.6718627990308701,1305
RSI_14d,0.039545996443356435,0.007788047485375982,0.23255497631429273,0.03348905970023455,-0.4944474931623045,1305
SMA_20d,-0.3790573395296817,-0.09091470488555775,0.20826816803670284,-0.43652712626509477,-0.6130004437882326,1305
Stochastic_Oscillator_14d,-0.4187940364099201,-0.10286136633717902,0.21785254298087833,-0.47216050329147413,-0.551145728534758,1305
Trading_Volume,1.0157675298512014,0.15052596784485295,0.1443874036402658,1.042514541087539,-0.26399365648775375,1305
VROC_10d,0.8437404570519214,0.13017899791745013,0.17988354922886315,0.7236848420853946,-0.16514084502114235,1305
Volume_Momentum_50d,0.8507768839469554,0.13104044208825005,0.16393874287382607,0.7993256492707408,-0.1941193170372244,1305
