Date,stock_id,price,ATR_14d,MA_Crossover_10_50,Mean_Reversion_20d,Normalized_BBW_20d_2std,Stochastic_Oscillator_14d,Volume_Momentum_50d
2020-03-24,0001.HK,36.20812225341797,0.0,-1.9955015563964835,-1.56135444641113,0.23829692779255338,97.43590426505924,-4325018.0
2020-03-25,0001.HK,38.31547546386719,0.0,-1.9955015563964835,-1.56135444641113,0.23829692779255338,97.43590426505924,-4325018.0
2020-03-26,0001.HK,38.430416107177734,0.0,-1.9955015563964835,-1.56135444641113,0.23829692779255338,97.43590426505924,-4325018.0
2020-03-27,0001.HK,40.53776931762695,0.0,-1.9955015563964835,-1.56135444641113,0.23829692779255338,97.43590426505924,-4325018.0
2020-03-30,0001.HK,39.42662811279297,0.0,-1.9955015563964835,-1.56135444641113,0.23829692779255338,97.43590426505924,-4325018.0
2020-03-31,0001.HK,40.07798385620117,0.0,-1.9955015563964835,-1.56135444641113,0.23829692779255338,97.43590426505924,-4325018.0
2020-04-01,0001.HK,39.88640594482422,0.0,-1.9955015563964835,-1.56135444641113,0.23829692779255338,97.43590426505924,-4325018.0
2020-04-02,0001.HK,40.19293212890625,0.0,-1.9955015563964835,-1.56135444641113,0.23829692779255338,97.43590426505924,-4325018.0
2020-04-03,0001.HK,40.231239318847656,0.0,-1.9955015563964835,-1.56135444641113,0.23829692779255338,97.43590426505924,-4325018.0
2020-04-06,0001.HK,42.760066986083984,0.0,-1.9955015563964835,-1.56135444641113,0.23829692779255338,97.43590426505924,-4325018.0
2020-04-07,0001.HK,44.13941955566406,0.0,-1.9955015563964835,-1.56135444641113,0.23829692779255338,97.43590426505924,-4325018.0
2020-04-08,0001.HK,43.219852447509766,0.0,-1.9955015563964835,-1.56135444641113,0.23829692779255338,97.43590426505924,-4325018.0
2020-04-09,0001.HK,44.292686462402344,0.0,-1.9955015563964835,-1.56135444641113,0.23829692779255338,97.43590426505924,-4325018.0
2020-04-14,0001.HK,44.40763473510742,1.4587250301781036,-1.9955015563964835,-1.56135444641113,0.23829692779255338,97.43590426505924,-4325018.0
2020-04-15,0001.HK,44.02448272705078,1.4530558536078921,-1.9955015563964835,-1.56135444641113,0.23829692779255338,86.69952063150177,-4325018.0
2020-04-16,0001.HK,43.60300827026367,1.428634301316501,-1.9955015563964835,-1.56135444641113,0.23829692779255338,79.67911998866549,-4325018.0
2020-04-17,0001.HK,44.522579193115234,1.4086937157399615,-1.9955015563964835,-1.56135444641113,0.23829692779255338,90.96767825831893,-4325018.0
2020-04-20,0001.HK,43.79458236694336,1.3874405352558532,-1.9955015563964835,-1.56135444641113,0.23829692779255338,78.70956177795337,-4325018.0
2020-04-21,0001.HK,42.60680389404297,1.4032841816998705,-1.9955015563964835,-1.56135444641113,0.23829692779255338,57.894662793865585,-4325018.0
2020-04-22,0001.HK,43.2581672668457,1.4070486073978743,-1.9955015563964835,-1.56135444641113,0.23829692779255338,69.07887474697266,-4325018.0
2020-04-23,0001.HK,43.066593170166016,1.3694920688264336,-1.9955015563964835,-1.0268568038940415,0.2031792292039064,65.78945843734614,-4325018.0
2020-04-24,0001.HK,42.33859634399414,1.3373550771384362,-1.9955015563964835,-0.09770393371582031,0.18440093300350924,49.64540387227364,-4325018.0
2020-04-27,0001.HK,42.760066986083984,1.3075134237896082,-1.9955015563964835,-0.302692031860353,0.1629814020222048,48.27581111465823,-4325018.0
2020-04-28,0001.HK,43.64132308959961,1.3071715099168966,-1.9955015563964835,-1.0287704467773438,0.15839081378587705,52.56404234922942,-4325018.0
2020-04-29,0001.HK,43.98616027832031,1.268538314190822,-1.9955015563964835,-1.1456310272216825,0.14336285063802223,64.10241820328422,-4325018.0
2020-05-04,0001.HK,42.37691116333008,1.3065588970133513,-1.9955015563964835,0.5785644531249972,0.13014451565525006,10.256366388375678,-4325018.0
2020-05-05,0001.HK,42.79838562011719,1.2597596652196434,-1.9955015563964835,0.30268898010253764,0.11123212915650811,24.35905268313051,-4325018.0
